献艺 ||| 表演 ||| 表演 技艺 给 特定 对象 欣赏 。
跨 ||| 跨 ||| 比喻 特定 事件 向 后述 状态 发展 ， 通常 是 正面 。
跨 ||| 跨 ||| 单脚 抬起 向前 或 左右 边 走 一步 。
认领 ||| 认领 ||| 比喻 自愿 承担 对 后述 对象 的 责任 。
认领 ||| 认领 ||| 经 辨识 、 确认 所有权 关系 后 领回 。
认领 ||| 认领 ||| 生父 承认 非婚生子 女为 自己 亲生子女 。
乘机 ||| 利用 时间 适宜 ||| 表 利用 不 容易 得到 的 机会 。
乘机 ||| 乘机 ||| 搭乘 飞机 。
出钱 ||| 出钱 ||| 提供 金钱 做 特定 事件 。
龙头 ||| 部件 手 车 非自动 驾驭 ||| 车辆 以 双手 握把 手 控制 方向 的 部位 。
龙头 ||| 部件 器具 止动 启动 ||| 控制 水量 的 旋转 开关 。
龙头 ||| 部件 手 车 非自动 驾驭 ||| 在 组织 或 团体 中 肩负 领导 责任 的 人 。
龙头 ||| 部件 手 车 非自动 驾驭 ||| 队伍 的 第一个 人 。
龙头 ||| 部件 手 车 非自动 驾驭 ||| 在 同类 对象 中 排名 第一 的 对象 。
龙头 ||| 部件 手 车 非自动 驾驭 ||| 在 同类 团体 中起 带头作用 的 团体 。
涎 ||| 部件 体液 部件 脏 动物 消化 ||| 由 口腔 黏膜 与 唾腺 分泌液 混合 而成 的 黏液 。
涎 ||| 部件 体液 部件 脏 动物 消化 ||| 表现 出 不在乎 尊严 的 样子 。 常 与 ‘ 脸 ’ 连用 。
涎 ||| 部件 体液 部件 脏 动物 消化 ||| 带有 黏性 的 液体 。
吁 ||| 吁 ||| 公开 表明 后 述 讯息 希望 得到 支持 。
弥足 ||| 弥足 ||| 表 更加 值得 。
独立 ||| 独自 ||| 比喻 前述 对象 单独 位于 后 述 地点 。
独立 ||| 独自 ||| 前述 对象 独自 站立 于 后述 地点 。
独立 ||| 独立 ||| 形容 不 和 其他 同类 对象 一起 。
独立 ||| 独立 ||| 形容 不 依靠 其它 对象 。
独立 ||| 独立 ||| 形容 国家主权 不 受 外来 势力 控制 或 影响 。
独立 ||| 独立 ||| 形容 脱离 原本 所 隶属 的 对象 而 成为 另 一个 新 的 组织 或 单位 。
倘 ||| 功能词 ||| 连接 假设 条件 。
示范 ||| 示范 ||| 用 实际 动作 来 解释 说明 。
覆盖 ||| 遮盖 ||| 从 上方 遮盖 。
铁 ||| 金属 化学 ||| 有 铁轨 供 火车 行驶 的 道路 。 ‘ 铁路 ’ 的 简省 。
铁 ||| 金属 化学 ||| 实用 金属 ， 化学 符号 为 Fe 。
铁 ||| 金属 化学 ||| 像 铁 一样 的 颜色 。
铁 ||| 金属 化学 ||| 形容 比喻 身体 强健 而 不易 受伤 的 。 常 与 ‘ 铜 ’ 连用 。
铁 ||| 金属 化学 ||| 形容 比喻 物体 坚硬 而 不易 受 损坏 的 。 常 与 ‘ 铜 ’ 连用 。
铁 ||| 金属 化学 ||| 形容 主要 材质 为 铁 的 。
铁 ||| 恒定 ||| 比喻 使 表情 严肃 不 露 笑容 ， 常 与 ‘ 脸 ’ 连用 。
铁 ||| 恒定 ||| 比喻 使 决心 坚定 且 不计 代价 ， 常 与 ‘ 心 ’ 连用 。
铁 ||| 恒定 ||| 肌肉 使用 过度 而 酸痛 僵硬 。 常 与 ‘ 手 ’ 、 ‘ 腿 ’ 连用 。
铁 ||| 恒定 ||| 形容 比喻 表情 严肃 不 露 笑容 ， 常 与 ‘ 脸 ’ 连用 。
铁 ||| 金属 化学 ||| 生物体 维持 生命 所 必需 的 矿物质 之一 ， 化学 符号 为 Fe 。
铁 ||| 铁 ||| 表对 推论 的 肯定 ， 没有 例外 。
铁 ||| 铁 ||| 形容 比喻 没有 例外 不能 改变 的 。
铁 ||| 铁 ||| 形容 比喻 手段 强硬 ， 不留情面 的 。
铁 ||| 铁 ||| 形容 比喻 训练有素 且 精炼 勇敢 的 。
铁 ||| 铁 ||| 形容 比喻 严密 没有 疏漏 的 。
铁 ||| 铁 ||| 形容 比喻 意志坚强 ， 作风 强势 。
铁 ||| 铁 ||| 形容 比喻 运动 技术 高超 的 。
铁 ||| 铁 ||| 姓 。
铁 ||| 铁 ||| 以铁 制成 的 器物 。
铁 ||| 铁 ||| 在 轨道 上 行驶 的 交通运输 系统 。
怔 ||| 怔 ||| 形容 心中 惊恐不安 。
怔 ||| 怔 ||| 暂时 失去 感知 且 茫然 。
知情 ||| 知道 ||| 知道 事件 的 实际 状况 ， 常 与 ‘ 不 ’ 连用 。
匕 ||| 匕 ||| 短剑 。
匕 ||| 匕 ||| 一端 有 凹槽 的 有 柄 器具 ， 用来 舀取 饮食 食用 。
下跪 ||| 部件他移 部件 腿 人 ||| 向 特定 对象 跪下 。
色彩 ||| 颜色 物质 ||| 多种 的 颜色 。
色彩 ||| 颜色 物质 ||| 物体 表面 因 反射 或 透过 的 光波 ， 产生 特定 视觉 现象 所 呈现 的 结果 。
色彩 ||| 色彩 ||| 比喻 特定 对象 具有 的 前述 特质 。
因着 ||| 因着 ||| 引介 原因 。
交保 ||| 释放 保证 警 ||| 司法 机构 对 交付 保证金 的 嫌犯 停止 羁押 。
斩 ||| 斩 ||| 比喻 大幅 减去 特定 金额 或 数量 。
斩 ||| 斩 ||| 比喻 价格 大量 下降 。
斩 ||| 斩 ||| 比喻 主动 结束 特定 情感 或 关系 。
斩 ||| 斩 ||| 姓 。
斩 ||| 斩 ||| 以刀 斧 等 利器 猛力 切入 特定 物体 。
乍 ||| 乍 ||| 表 事件 处于 整体 发展 的 初期 。
乍 ||| 乍 ||| 表 事件 的 发生 令人 感到 意外 。
乍 ||| 乍 ||| 鼓起勇气 。 常 与 ‘ 胆子 ’ 连用 。
乍 ||| 乍 ||| 姓 。
授 ||| 教 ||| 指导 、 传授 知识 技能 或 适当 的 行为 。
授 ||| 授 ||| 有 权力 的 人 以 公开 正式 的 方式 将 职位 或 奖励 给 后述 对象 。
据悉 ||| 据悉 ||| 表后述 消息 是从 他人 那里 知道 。
不起眼 ||| 不起眼 ||| 形容 不 重要 而 不 引人注意 。
不起眼 ||| 不起眼 ||| 形容 视觉 上 不 引人注目 。
愚 ||| 愚 ||| 代指 说话 者 。
愚 ||| 愚 ||| 形容 智能 较 低 或 理解力 较差 的 。
愚 ||| 愚 ||| 姓 。
愚 ||| 愚 ||| 用 言语 或 其他 方法 使 特定 对象 相信 主事者 要 其 相信 的 事 。
势 ||| 势力 动物 群体 人 ||| 身体 或 身体 特定 部位 进行 特定 事件 时 的 姿态 。
势 ||| 力量 物质 ||| 自然 现象 或 自然物 的 整体 形貌 或 其 能量 。
势 ||| 境况 事件 万物 ||| 比喻 特定 事件 发展 的 状态 。
势 ||| 势力 动物 群体 人 ||| 比喻 男子 的 外生殖器 。 常 与 ‘ 去 ’ 连用 。
势 ||| 境况 事件 万物 ||| 表对 推论 的 肯定 ， 没有 例外 。
势 ||| 势力 动物 群体 人 ||| 比喻 可以 控制 他人 或 事件 发展 的 影响力 。
势 ||| 势 ||| 可以 被 利用 或 操控 的 力道 。
畔 ||| 部件 边 地方 ||| 特定 土地 范围 的 边界 ， 通常 是 农地 。
畔 ||| 部件 边 地方 ||| 表 靠近 参考点 的 地方 。
忍受 ||| 忍耐 ||| 承受 住 不 舒服 的 感觉 。
忍受 ||| 忍耐 ||| 压抑 住 感受 ， 不 使 表现 出来 ， 或 承受 住 不 舒服 的 感觉 。
忍受 ||| 忍受 ||| 压抑 住 感受 ， 不 使 表现 出来 。
播种 ||| 撒 栽植 农 部件 胚 植物 ||| 为了 种植 植物 而 将 种子 散布 于 土中 。
播种 ||| 撒 栽植 农 部件 胚 植物 ||| 比喻 雄性 生物 跟 许多 不同 对象 生出 后代 。
播种 ||| 撒 栽植 农 部件 胚 植物 ||| 比喻 开始 传布 并 培养 一种 新 思想 或 新 理论 。
遗憾 ||| 遗憾 ||| 因 事件 未达 理想 状态 而 感到 惋惜 。
遗憾 ||| 遗憾 ||| 因 事件 未达 理想 状态 ， 心中 所 产生 的 惋惜 。
豆 ||| 部件 胚 蔬菜 吃 ||| 豆科植物 包含 种子 的 果实 。
豆 ||| 部件 胚 蔬菜 吃 ||| 豆科植物 的 通称 ， 果实 为 豆荚 形 。
豆 ||| 部件 胚 蔬菜 吃 ||| 形容 体积 像 豆子 一样 大小 的 。
豆 ||| 部件 胚 蔬菜 吃 ||| 豆科植物 的 种子 。
豆 ||| 部件 胚 蔬菜 吃 ||| 形容 以 黄豆 为 主要 材料 所 制成 的 。
豆 ||| 部件 胚 蔬菜 吃 ||| 中国 古代 盛装 食物 用 的 器具 ， 有盖 ， 形状 像 高脚 盘 。
豆 ||| 部件 胚 蔬菜 吃 ||| 以豆 为 形象 制成 的 人 造物 。
豆 ||| 豆 ||| 姓 。
只要 ||| 功能词 ||| 连接 达成 后 述 目标 的 唯一 条件 。
上进 ||| 发达 ||| 形容 自己 求 进步 的 。
钩 ||| 用具 捉住 弯 ||| 特定 部位 的 一端 呈现 钩子 的 形状 。
钩 ||| 用具 捉住 弯 ||| 钩 形 的 物体 。
钩 ||| 用具 捉住 弯 ||| 利用 钩 型 符号 或 其他 方式 标记 或 选取 。
钩 ||| 用具 捉住 弯 ||| 形容 钩 形 的 。
钩 ||| 用具 捉住 弯 ||| 书法 笔法 的 一种 ， 笔划 连续 书写 而 产生 的 末端 弯曲 。
钩 ||| 用具 捉住 弯 ||| 用 钩子 由 上方 支撑 并 固定 特定 物体 。
钩 ||| 用具 捉住 弯 ||| 两条线 下方 端点 连接 、 上方 端点 分离 ， 形成 小于 180 度角 的 形状 的 符号 ， 通常 用于 标记 。
钩 ||| 用具 捉住 弯 ||| 形状 弯曲 ， 可用 来 悬挂 、 连结 或 探取 特定 物体 的 器具 。
钩 ||| 用具 捉住 弯 ||| 用 特定 手持 工具 将 毛线 制成 后 述 物品 。
钩 ||| 用具 捉住 弯 ||| 兵器 的 一种 ， 末端 形状 如弯钩 ， 两边 有刃 。
钩 ||| 用具 捉住 弯 ||| 计算 钩状物 体 的 单位 。
钩 ||| 用具 捉住 弯 ||| 利用 线条 画出 特定 物体 的 轮廓 。
钩 ||| 用具 捉住 弯 ||| 连结 两个 以上 的 物体 。
钩 ||| 钩 ||| 吸引 并 影响 特定 对象 。
钩 ||| 钩 ||| 姓 。
钩 ||| 钩 ||| 用 钩状物 连结 到 特定 物体 上 并 使 其 移动 。
授予 ||| 授予 ||| 以 正式 、 公开 的 方式 将 荣誉 或 权力 给 特定 对象 。
细 ||| 低声 ||| 形容 比喻 音量 小 。
细 ||| 低声 ||| 形容 构成 影像 的 粒子 小 。
细 ||| 低声 ||| 形容 颗粒 小 的 。
细 ||| 低声 ||| 形容 孔 或 洞 的 直径 小 。
细 ||| 低声 ||| 形容 年纪 小 。
细 ||| 低声 ||| 形容 区分 整体 事物 时 ， 使用 范围 较 小 的 类别 。
细 ||| 低声 ||| 形容 条 状物 的 横切面 的 面积 小 。
细 ||| 低声 ||| 形容 线条 的 宽度 小 。
细 ||| 低声 ||| 形容 做事 周密 ， 不 遗漏 小 细节 。
细 ||| 细心 ||| 形容 比喻 做事 态度 仔细 、 小心 。
细 ||| 详 ||| 表 详尽 。
细 ||| 精 ||| 形容 特定 对象 的 质感 精致 。
细 ||| 琐 ||| 形容 食物 的 纤维 少且 易 嚼 碎 。
细 ||| 细 ||| 表 缓慢 地 进行 后 述 动作 并 用心 体会 。
细 ||| 细 ||| 使 身体 四肢 或 腰 的 周长 变小 。
细 ||| 细 ||| 形容 比喻 个性 敏感 的 。 常 与 ‘ 神经 ’ 连用 。
细 ||| 细 ||| 形容 比喻 音调 高且 音质 清晰 的 。
细 ||| 细 ||| 形容 孔 或 洞 的 直径 变小 。
细 ||| 细 ||| 形容 特定 对象 的 制作 过程 精密 。
细 ||| 细 ||| 形容 条 状物 的 横切面 的 面积 变小 。
细 ||| 细 ||| 形容 物体 表面 的 触感 变得 光滑 。
细 ||| 细 ||| 形容 物体 表面 的 触感 光滑 。
豪 ||| 人 能 ||| 具有 杰出 才能 的 人 。
豪 ||| 人 能 ||| 形容 风 、 雨 、 雪 等 强而有力 且量 多 。
豪 ||| 人 能 ||| 形容 身体 特定 部位 体积 大 ， 通常 用于 女性 胸部 或 臀部 。
豪 ||| 人 能 ||| 形容 物品 豪华 且 价值 高 。
豪 ||| 人 能 ||| 姓 。
豪 ||| 豪 ||| 表用 强势 的 手段 取得 。
斯 ||| 特定 ||| 前述 事物 的 代称 。
斯 ||| 斯 ||| 离 说话 者 或 参考点 较近 的 位置 。
斯 ||| 斯 ||| 姓 。
放出来 ||| 放出来 ||| 播放 影音 。
放出来 ||| 放出来 ||| 发表 程式 或 发行 数位 产品 ， 通常 放在 网路上 提供 给 他人 免费 使用 。
放出来 ||| 放出来 ||| 散播 特定 讯息 。
放出来 ||| 放出来 ||| 使 监禁 者 得到 自由 。
放出来 ||| 放出来 ||| 释出 资金 ， 使 其 在 市面上 流通 。
放出来 ||| 放出来 ||| 释放 出 能量 。
放出来 ||| 放出来 ||| 释放 出 气体 。
放出来 ||| 放出来 ||| 释放 出 情感 。
放出来 ||| 放出来 ||| 释放 出 物体 。
型 ||| 用具 制造 ||| 计算 在 特定 范围 中 具有 共同 特征 的 小 范围 的 单位 。
型 ||| 用具 制造 ||| 形容 造型 佳 、 有 独特 风格 的 。
型 ||| 用具 制造 ||| 在 特定 范围 中 具有 共同 特征 的 小 范围 的 单位 。
腕 ||| 部件 臂 动物 ||| 手掌 与 手臂 连接 的 关节 部位 。
腕 ||| 部件 臂 动物 ||| 比喻 具有 前述 性质 的 行事 风格 。
早晨 ||| 时间 晨 ||| 天刚亮 到 八 、 九点 的 时间 。
狭隘 ||| 窄 ||| 形容 宽度 窄小 ， 难以 通行 。
狭隘 ||| 狭隘 ||| 形容 比喻 度量 小 ， 不能容忍 。
狭隘 ||| 狭隘 ||| 形容 比喻 事件 的 范围 小 。
鹂 ||| 鹂 ||| 鸟纲 雀形目 鸟类 ， 背部 为 灰黄色 ， 腹部 为 灰白色 ， 尾部 有 黑羽 ， 鸣声 宛转 动人 。
踩 ||| 踩 ||| 比喻 以 不 尊重 的 方式 对待 特定 对象 。
踩 ||| 踩 ||| 脚底 施力 于 后述 物体 或 平面 上 。
踩 ||| 踩 ||| 脚 上 穿着 后述 鞋款 。
踩 ||| 踩 ||| 以后 述 脚步 行走 。
踩 ||| 踩 ||| 用脚 操控 特定 机械 的 运作 。
妥善 ||| 当 ||| 形容 适当 且 完善 地 做 后述 事件 。
市区 ||| 部件 心 地方 市 ||| 特定 都市 的 范围 内 。
市区 ||| 部件 心 地方 市 ||| 特定 区域 内 商业 集中 的 地区 。
军事 ||| 事务 军 ||| 有关 军队 或 战争 的 事务 。
军事 ||| 事务 军 ||| 属于 军法 范围 的 法律 事件 。
螺丝 ||| 部件 器具 拴连 定住 ||| 即 ‘ 吃 螺丝 ’ ， 在 公开场合 说话 时 不 流利 ， 如念 错字 ， 或 稿子 、 剧本 、 歌词 背不熟 等 。
螺丝 ||| 部件 器具 拴连 定住 ||| 具有 螺旋 纹 沟槽 的 圆柱体 ， 为 机械设备 的 部件 。
古 ||| 长时间 过去 ||| 过去 已久 的 年代 。
古 ||| 长时间 过去 ||| 唐代 近体诗 产生 以前 除 楚辞 以外 的 各种 诗歌 的 总称 。 ‘ 古体诗 ’ 的 简省 。
古 ||| 长时间 过去 ||| 形容 年代久远 的 。
古 ||| 长时间 过去 ||| 古代 的 事物 。
古 ||| 长时间 过去 ||| 形容 具有 古代 风格 的 。
古 ||| 姓 ||| 姓 。
搔 ||| 搔 ||| 用 指头 、 爪子 或 类似 的 工具 在 身体 特定 部位 表面 的 小 范围 内 轻轻地 重复 划 。
明星 ||| 人 职位 艺 著名 表演 ||| 通 指出 色 有名 的 人物 。
明星 ||| 人 职位 艺 著名 表演 ||| 专指 演艺 人员 。
明星 ||| 明星 ||| 形容 受人 瞩目 的 。
明星 ||| 明星 ||| 夜晚 天空 中 闪烁 发光 的 天体 。
接着 ||| 捉住 达成 ||| 表两 物体 在 空间 上 的 连续 。
接着 ||| 接着 ||| 表 紧跟着 前述 动作 或 事件 。
牧草地 ||| 牧草地 ||| 长有 或 种植 可 供 牲畜 食用 的 草 的 土地 。
国界 ||| 部件 边 地方 国家 政 ||| 相邻 国家 领土 的 分界线 。
国界 ||| 部件 边 地方 国家 政 ||| 国与国 的 区分 。
吠 ||| 喊 兽 ||| 狗 大声 叫 。
吠 ||| 吠 ||| 比喻 说话 者 说出 批评 他人 且 令人 感到 不悦 的 话语 。
加以 ||| 功能词 ||| 连接 补充 的 原因 或 说明 ， 以 支持 论点 。
加以 ||| 加以 ||| 表对 特定 对象 做 后述 处置 。
砰 ||| 声 ||| 表 爆裂 或 撞击 时所 发出 的 巨大 声音 。
紧张 ||| 缺少 人工物 商业 ||| 形容 因为 供不应求 而 造成 大众 不安 。
紧张 ||| 紧张 ||| 身体 组织 受到 较大 的 拉力 而 呈现 的 状态 。
紧张 ||| 紧张 ||| 形容 生活 步调 快 。
紧张 ||| 紧张 ||| 形容 事件 情势 急迫 。
紧张 ||| 紧张 ||| 形容 因 特定 原因 而 感到 惶恐不安 。
阳明 ||| 阳明 ||| 明代 儒学家 ， 提倡 知行合一 学说 。
阳明 ||| 阳明 ||| 台湾 公立 大学 之一 ， 位于 台北市 北投区 。 ‘ 阳明 大学 ’ 的 缩写 。
阳明 ||| 阳明 ||| 王阳明 的 思想 或 作品 。
阳明 ||| 阳明 ||| 阳明 大学 的 建筑物 及 建筑 所在 的 位置 。 ‘ 阳明 大学 ’ 的 缩写 。
这 ||| 特定 ||| 代指 任何 一个 不 确定 的 对象 。 常用 ‘ … 这 … 那 ’ 。
这 ||| 现在 ||| 代指 这时候 ， 有 加强 语气 的 作用 。
这 ||| 这 ||| 表后述 事件 紧接着 发生 。
这 ||| 这 ||| 代称 时空 上 距离 说话 人较 近 的 后述 对象 。
这 ||| 这 ||| 代指 上 文中 已 提过 的 对象 。
这 ||| 这 ||| 离 说话 者 或 参考点 较近 的 位置 。
这 ||| 这 ||| 言谈 中 用于 标记 语气 的 停顿 。
这 ||| 这 ||| 指称 时空 上 距离 说话 人较 近 的 后述 对象 。
这般 ||| 较 ||| 表与 说话 者 认知 较 吻合 的 程度 。
这般 ||| 较 ||| 代指 与 说话 者 认知 较 吻合 的 事件 。
一起 ||| 一起 ||| 表 不同 的 主体 在 同一 空间 或 进行 同一 事件 。
一起 ||| 一起 ||| 表在 同一个 处所 。
一起 ||| 一起 ||| 同一 团体 。
人民日报 ||| 书刊 中国 出版 新闻 ||| 人民日报 出版 的 报纸 ， 指 内容 部分 。
人民日报 ||| 书刊 中国 出版 新闻 ||| 纪录 人民日报 新闻 内容 的 载体 ， 通常 为 纸张 。
人民日报 ||| 书刊 中国 出版 新闻 ||| 人民日报 的 建筑物 及 建筑物 所在 的 位置 。
乱 ||| 事情 暴动 政 ||| 表随 自己 的 意思 做 后述 动作 ， 不 受 其他 限制 的 影响 ， 常用 于 负面 事件 。
乱 ||| 事情 暴动 政 ||| 以 反抗 当局 政权 为 目的 所 发动 的 武力 行动 。
乱 ||| 事情 暴动 政 ||| 违反 后 述 规范 。
乱 ||| 事情 暴动 政 ||| 以 言语 或 行为 打扰 或 戏弄 特定 对象 。
乱 ||| 使动 乱 ||| 比喻 使 两件 以上 的 事情 无法 厘清 。
乱 ||| 使动 乱 ||| 使 特定 对象 心思 情绪 无法 不 安定 。
乱 ||| 坏情 ||| 形容 比喻 心思 情绪 不 安定 。
乱 ||| 事情 暴动 政 ||| 扰乱 特定 事件 的 进行 。
乱 ||| 莽 ||| 表 做事 态度 随便 ， 不 周全 。
乱 ||| 乱 ||| 表 超过 平常 的 程度 。
乱 ||| 乱 ||| 形容 没有 秩序 和 条理 的 。
乱 ||| 乱 ||| 形容 特定 对象 复杂 不 单纯 。
注目 ||| 看 专注 ||| 将 视线 固定 在 特定 对象 上 。
注目 ||| 注目 ||| 比喻 集中 注意力 在 特定 对象 上 。
家用 ||| 费用 家庭 ||| 家庭 日常 的 使用 。
家用 ||| 费用 家庭 ||| 家庭 中 的 生活费用 。
家用 ||| 费用 家庭 ||| 形容 适合 家庭 使用 的 。
熟 ||| 能 ||| 形容 果实 发育 到 可以 立即 食用 的 程度 。
熟 ||| 能 ||| 形容 食材 煮 到 可以 食用 的 程度 。
熟 ||| 熟 ||| 表 仔细 深入 。
熟 ||| 熟 ||| 形容 经常 接触 特定 对象 而 有 交情 。
熟 ||| 熟 ||| 形容 经过 物理 或 化学 加工 制造 的 。
熟 ||| 熟 ||| 形容 留有 印象 。
熟 ||| 熟 ||| 形容 生物 完全 长成 。
熟 ||| 熟 ||| 形容 睡眠 的 程度 深 。
熟 ||| 熟 ||| 形容 因为 经常 进行 后 述 事件 而 有 充分 的 知识 。
熟 ||| 熟 ||| 拥有 丰富 的 经验 与 技术 。
基于 ||| 功能词 ||| 引介 根据 的 理由 。
临床 ||| 时间特性值 医 经受 进展 医治 ||| 医生 实际 诊治 病人 的 行为 。
屈 ||| 部件他移 ||| 比喻 降低 身分 ， 到 较 低 的 职务 或 地位 。
屈 ||| 现象 遭受 慢待 加害 ||| 比喻 遭受 到 的 不平 对待 。
屈 ||| 现象 遭受 慢待 加害 ||| 形容 比喻 遭受 到 不平 对待 的 。
屈 ||| 姓 ||| 姓
屈 ||| 屈服 ||| 比喻 使 特定 对象 屈服 。
